Age,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome,PerformanceRating,RelationshipSatisfaction,WorkLifeBalance,Attrition,AgeGroup
41,Sales,1,College,Life Sciences,1,Medium,Female,High,Sales Executive,Very High,5993,Excellent,Low,Bad,Yes,36-45
49,Research & Development,8,Below College,Life Sciences,1,High,Male,Medium,Research Scientist,Medium,5130,Outstanding,Very High,Better,No,46-55
37,Research & Development,2,College,Other,1,High,Male,Medium,Laboratory Technician,High,2090,Excellent,Medium,Better,Yes,36-45
33,Research & Development,3,Master,Life Sciences,1,High,Female,High,Research Scientist,High,2909,Excellent,High,Better,No,26-35
27,Research & Development,2,Below College,Medical,1,Low,Male,High,Laboratory Technician,Medium,3468,Excellent,Very High,Better,No,26-35
32,Research & Development,2,College,Life Sciences,1,High,Male,High,Laboratory Technician,Very High,3068,Excellent,High,Good,No,26-35
59,Research & Development,3,Bachelor,Medical,1,High,Female,Very High,Laboratory Technician,Low,2670,Outstanding,Low,Good,No,56-65
30,Research & Development,24,Below College,Life Sciences,1,High,Male,High,Laboratory Technician,High,2693,Outstanding,Medium,Better,No,26-35
38,Research & Development,23,Bachelor,Life Sciences,1,High,Male,Medium,Manufacturing Director,High,9526,Outstanding,Medium,Better,No,36-45
36,Research & Development,27,Bachelor,Medical,1,High,Male,High,Healthcare Representative,High,5237,Excellent,Medium,Good,No,36-45
35,Research & Development,16,Bachelor,Medical,1,Low,Male,Very High,Laboratory Technician,Medium,2426,Excellent,High,Better,No,36-45
29,Research & Development,15,College,Life Sciences,1,High,Female,Medium,Laboratory Technician,High,4193,Excellent,Very High,Better,No,26-35
31,Research & Development,26,Below College,Life Sciences,1,Low,Male,High,Research Scientist,High,2911,Excellent,Very High,Good,No,26-35
34,Research & Development,19,College,Medical,1,Medium,Male,High,Laboratory Technician,Very High,2661,Excellent,High,Better,No,26-35
28,Research & Development,24,Bachelor,Life Sciences,1,High,Male,Medium,Laboratory Technician,High,2028,Excellent,Medium,Better,Yes,26-35
29,Research & Development,21,Master,Life Sciences,1,Medium,Female,Very High,Manufacturing Director,Low,9980,Excellent,High,Better,No,26-35
32,Research & Development,5,College,Life Sciences,1,Low,Male,Very High,Research Scientist,Medium,3298,Excellent,Very High,Good,No,26-35
22,Research & Development,16,College,Medical,1,High,Male,Very High,Laboratory Technician,Very High,2935,Excellent,Medium,Good,No,18-25
53,Sales,2,Master,Life Sciences,1,Low,Female,Medium,Manager,Very High,15427,Excellent,High,Better,No,46-55
38,Research & Development,2,Bachelor,Life Sciences,1,High,Male,High,Research Scientist,Very High,3944,Excellent,High,Better,No,36-45
24,Research & Development,11,College,Other,1,Low,Female,Very High,Manufacturing Director,High,4011,Excellent,Very High,Good,No,18-25
36,Sales,9,Master,Life Sciences,1,High,Male,Medium,Sales Representative,Low,3407,Outstanding,Medium,Better,Yes,36-45
34,Research & Development,7,Master,Life Sciences,1,Low,Female,High,Research Director,Medium,11994,Excellent,High,Better,No,26-35
21,Research & Development,15,College,Life Sciences,1,High,Male,High,Research Scientist,Very High,1232,Excellent,Very High,Better,No,18-25
34,Research & Development,6,Below College,Medical,1,Medium,Male,High,Research Scientist,Low,2960,Excellent,High,Better,Yes,26-35
53,Research & Development,5,Bachelor,Other,1,High,Female,High,Manager,High,19094,Excellent,Very High,Good,No,46-55
32,Research & Development,16,Below College,Life Sciences,1,Medium,Female,Low,Research Scientist,Low,3919,Outstanding,Medium,Better,Yes,26-35
42,Sales,8,Master,Marketing,1,High,Male,High,Sales Executive,Medium,6825,Excellent,Very High,Better,No,36-45
44,Research & Development,7,Master,Medical,1,Low,Female,Medium,Healthcare Representative,Very High,10248,Excellent,Very High,Better,No,36-45
46,Sales,2,Master,Marketing,1,Medium,Female,High,Manager,Low,18947,Excellent,Very High,Good,No,46-55
33,Research & Development,2,Bachelor,Medical,1,High,Male,High,Laboratory Technician,Very High,2496,Excellent,Very High,Better,No,26-35
44,Research & Development,10,Master,Other,1,High,Male,High,Healthcare Representative,Very High,6465,Excellent,Very High,Best,No,36-45
30,Research & Development,9,College,Medical,1,High,Male,Medium,Laboratory Technician,High,2206,Excellent,Low,Better,No,26-35
39,Sales,5,Bachelor,Technical Degree,1,High,Male,High,Sales Representative,Very High,2086,Excellent,High,Best,Yes,36-45
24,Research & Development,1,Bachelor,Medical,1,Medium,Male,High,Research Scientist,Very High,2293,Excellent,Low,Good,Yes,18-25
43,Research & Development,2,College,Medical,1,High,Female,Very High,Research Scientist,High,2645,Excellent,Very High,Good,No,36-45
50,Sales,3,College,Marketing,1,Low,Male,Medium,Sales Representative,High,2683,Excellent,High,Better,Yes,46-55
35,Sales,2,Bachelor,Marketing,1,High,Female,High,Sales Representative,Very High,2014,Excellent,Low,Better,No,36-45
36,Research & Development,5,Master,Life Sciences,1,Medium,Female,Medium,Research Scientist,Low,3419,Excellent,Very High,Best,No,36-45
33,Sales,1,Bachelor,Life Sciences,1,High,Female,Very High,Sales Executive,Low,5376,Excellent,Low,Better,No,26-35
35,Research & Development,4,College,Other,1,High,Male,High,Laboratory Technician,Very High,1951,Excellent,High,Better,No,36-45
27,Research & Development,2,Master,Life Sciences,1,High,Female,High,Laboratory Technician,Low,2341,Excellent,Very High,Better,No,26-35
26,Research & Development,25,Bachelor,Life Sciences,1,Low,Male,Low,Laboratory Technician,High,2293,Excellent,High,Good,Yes,26-35
27,Sales,8,Bachelor,Life Sciences,1,High,Male,High,Sales Executive,High,8726,Excellent,Very High,Better,No,26-35
30,Research & Development,1,College,Medical,1,High,Female,High,Laboratory Technician,Very High,4011,Outstanding,Very High,Better,No,26-35
41,Research & Development,12,Bachelor,Technical Degree,1,Medium,Female,High,Research Director,High,19545,Excellent,Very High,Better,Yes,36-45
34,Sales,23,Master,Marketing,1,Medium,Male,High,Sales Executive,High,4568,Outstanding,High,Better,No,26-35
37,Research & Development,19,College,Life Sciences,1,Medium,Male,High,Research Scientist,Medium,3022,Outstanding,Low,Better,No,36-45
46,Sales,5,Master,Marketing,1,Low,Male,High,Sales Executive,Very High,5772,Outstanding,High,Better,No,46-55
35,Research & Development,8,Below College,Life Sciences,1,High,Male,Very High,Laboratory Technician,Very High,2269,Excellent,Very High,Better,No,36-45
48,Research & Development,1,College,Life Sciences,1,Low,Male,Medium,Laboratory Technician,High,5381,Excellent,Very High,Better,Yes,46-55
28,Research & Development,5,Master,Technical Degree,1,High,Male,High,Laboratory Technician,High,3441,Excellent,High,Good,Yes,26-35
44,Sales,1,Doctor,Marketing,1,Medium,Female,High,Sales Executive,Low,5454,Outstanding,High,Good,No,36-45
35,Research & Development,11,College,Medical,1,High,Male,Medium,Healthcare Representative,Low,9884,Excellent,High,Better,No,36-45
26,Sales,23,Bachelor,Marketing,1,High,Female,Medium,Sales Executive,Very High,4157,Excellent,High,Good,No,26-35
33,Research & Development,1,College,Life Sciences,1,Low,Female,High,Research Director,Very High,13458,Excellent,High,Better,No,26-35
35,Sales,18,Doctor,Life Sciences,1,Medium,Male,High,Sales Executive,Low,9069,Outstanding,Very High,Good,No,36-45
35,Research & Development,23,Master,Medical,1,High,Female,High,Laboratory Technician,Low,4014,Excellent,High,Better,No,36-45
31,Research & Development,7,Master,Life Sciences,1,High,Male,High,Laboratory Technician,Very High,5915,Outstanding,Very High,Good,No,26-35
37,Research & Development,1,Master,Life Sciences,1,Low,Male,Medium,Manufacturing Director,High,5993,Excellent,High,Best,No,36-45
32,Research & Development,1,Bachelor,Medical,1,Low,Male,High,Manufacturing Director,Very High,6162,Outstanding,Medium,Better,No,26-35
38,Research & Development,29,Doctor,Life Sciences,1,High,Female,High,Laboratory Technician,Very High,2406,Excellent,Very High,Better,No,36-45
50,Research & Development,7,College,Medical,1,Medium,Female,Medium,Research Director,High,18740,Excellent,Very High,Good,No,46-55
59,Sales,25,Bachelor,Life Sciences,1,Low,Female,High,Sales Executive,Low,7637,Excellent,Very High,Good,No,56-65
36,Research & Development,8,Bachelor,Technical Degree,1,High,Female,High,Healthcare Representative,High,10096,Excellent,Medium,Better,No,36-45
55,Research & Development,8,Bachelor,Medical,1,High,Female,High,Manager,High,14756,Excellent,High,Better,No,56-65
